MySQL [gc_sp21_dinosaurherd_log]> \. queries/maxLevelReached.sql
+--------------------------------------+--------------------------------------+-----------+
| uid                                  | sessionid                            | max_level |
+--------------------------------------+--------------------------------------+-----------+
| 15DC2F28-CFA9-70CA-B304-9C6362E4168B | 097F472F-93D4-F301-8A61-5B3F7D80DD10 |         4 |
| 19F57755-8295-C82F-5906-EB7CA24319CA | 5ED2CB81-B235-1B34-C31C-C3915AF8B616 |         1 |
| 1BEC4275-AB0A-689C-5BB7-8BF594AA2B85 | 065086B2-B734-96F9-9552-054CB1938A30 |         7 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | NULL                                 |         1 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 00034455-9C67-A709-9F7A-46CDC0271BB6 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 04B9DBB2-98BB-931D-91CC-A927403C3377 |         9 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 137B3AE8-9C43-BB9A-8B1C-408DDBB516A6 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 14335F8C-A7E0-B2D0-A474-D5F5A31C4AA0 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 1EDE815C-C8C6-4DD3-52F3-E728997B78F1 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 20F962C0-D27A-6B6E-133D-7CE982750C96 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 23F28E47-A8DF-7E9D-8C84-1EAEA3E4016A |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 264E1488-EDF2-9285-8871-7D929D738A5E |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 2792ED6C-4D21-DAC6-F691-34FD815A4818 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 2C0A9FDD-A3E3-21BD-9A4F-9C9382D9076C |         1 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 2D0BC968-F65D-A98F-A432-E6A66EB675B5 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 318DE751-66B0-E5BB-3A1E-4397EBE7B8DC |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 386E2A9F-3F28-D6DC-4AEC-82AC9BEDD5C4 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 3AC6CCA0-77A0-76F3-2253-58B65E1AB910 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 3EB5A681-031B-03AF-23C8-AAFB26ED302E |         1 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 403D0FAE-E5BC-0485-FB39-918CCB662207 |         6 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 43004D90-A6CA-A8B4-FA98-FAD2E80FB17A |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 47AAD06F-776A-9CCC-204E-700B7EB94F97 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 49DA5205-27F6-2AAC-60F2-61C4BA81A1C5 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 4B0FCCBC-EA22-589B-0D81-7880C51FCF30 |         5 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 4F856B4E-1308-63A5-7A00-EA9346972541 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 50B9C521-8787-DBAE-15F3-A5BC0D1622C5 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 5A2031CB-C140-BF96-34BF-C16744AB2191 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 5A8826F4-53AC-0B1B-AC44-09147A5ABEEC |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 6218BA4B-4914-B7EE-51C1-EB18A62A13DE |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 631BCD0C-345E-4FD2-B286-836948AFFF37 |         7 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 63914362-4407-D3D0-7E0D-2BE9169A046E |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 6887AB16-A83C-0222-1014-0A03D88BDC68 |         2 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 69AE04F0-BE31-07CC-4236-FE56ABF59487 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 69CF3D13-C70B-3AFC-30B2-ADC74B1F294C |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 6A0FBA30-4172-F051-89F7-8D0644FBE340 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 6AB3D62A-22DF-0373-B353-F142C176B3D5 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 6B67DF8F-BC79-18C2-2826-B58081146D86 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 743039F6-101D-1132-1E8E-83FD4BEFE150 |         7 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 776C0369-3CE0-BC09-3C03-E5F6A0BDD971 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 7E1AEB65-B101-A0BC-5178-00B6AE9EBBBB |         5 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 855117C1-6B7E-EBB9-11E1-F4328B07BBCC |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 85F6E8E3-AD45-9477-F5E7-ED93F0FB3450 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 8EE7AAFC-E04C-84F9-FF14-116DEC2894AB |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | 91E36845-FAF6-8BEB-8E2F-531BD6D293AE |         5 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | BCA1069C-ACF4-31E2-6429-680F5B90013C |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | C08561EB-94AE-2A8C-6373-A65267C55AD2 |         9 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | CB781663-975B-E503-29E7-2CDDF25C5720 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | CBAB05D0-0AE3-F247-3FE0-8AA2478635CF |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | D0CD9680-BD01-219E-CFFA-9113EFA8E67D |         5 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | DAC8EF48-8E0E-7F9A-0263-54F3EBB3B6D7 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | DB5CF53A-7E72-50F7-A6D9-C9837028EC35 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | DD8355AB-C952-0B48-87B7-1D79B1AD7C79 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | DEACA9D9-DA47-CF3E-C8C8-CFEE0347E3C1 |         4 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | F064ED3F-482C-12D4-EDAC-857CC45E6055 |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | F29568B9-8423-02A6-0032-90F4765C62BE |         3 |
| 2B2F2D68-D8E6-C194-1146-8A0DCC232D78 | FADC8128-5AA7-3387-B31B-42B288CCADC7 |         4 |
| 303DFEC6-4500-A972-A73C-374596C08552 | 4B5E45F2-9732-21D3-02FF-2E3C7CB3CCBA |         9 |
| 303DFEC6-4500-A972-A73C-374596C08552 | 9A1EFD74-467E-C5B3-D8E8-F200FC4FC6A2 |         5 |
| 303DFEC6-4500-A972-A73C-374596C08552 | D2A3FE00-7E2C-639A-0ECB-9A61A7CFA40B |         8 |
| 303DFEC6-4500-A972-A73C-374596C08552 | D7AB5E9E-8089-2718-9F6C-C3F1DB00179B |         2 |
| 303DFEC6-4500-A972-A73C-374596C08552 | F12D6E7E-D7AE-2126-6C7E-C3252EAB0DA0 |         1 |
