log_no_quest_id,gid,cid,log_ts,aid,a_detail,uid,vid,sessionid,session_seqid,client_ts,multiplayer_uid,multiplayer_seqid
1,202107,1,1621831876,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,7109A2B6-F0D3-3219-FAEF-71C53312CD68,1,1621831876080,NULL,0
2,202107,1,1621831902,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,4FB492B2-3B1D-27BF-EC13-C4645B7253BD,1,1621831902797,NULL,0
3,202107,1,1621831906,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,47FCD95A-31E0-8B9B-E191-C7F4F6E2820C,1,1621831906646,NULL,0
4,202107,1,1621831910,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,B735B444-C25B-657B-FFB3-3D3F6204178E,1,1621831910482,NULL,0
5,202107,1,1621833455,0,[],7559A385-0DC4-18E0-88A2-333CF61137DC,1,432E7CF9-2913-CD1C-A46A-F118F840C58D,1,1621833454955,NULL,0
6,202107,4,1621836678,1,[],256E452F-6714-ED93-0A89-E19A5C8B5956,1,51F44767-CFC5-49F7-46B1-F23DE1A7117A,1,1621836678092,NULL,0
7,202107,4,1621869958,1,[],B45E3D00-4ACD-20B3-119F-6597C4B3B160,1,3838015C-DA67-5C91-CA9B-19E0E1E6DED1,1,1621869958597,NULL,0
8,202107,4,1621883823,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,84EFC091-650A-6A19-C517-6FC4F705E45E,1,1621883823309,NULL,0
9,202107,4,1621883915,1,[],F58D81D2-2C14-DF49-8BB4-024AAB9E26D0,1,799350FF-C65A-A255-3740-7F05E308A440,1,1621883915431,NULL,0
10,202107,4,1621884158,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,925A87ED-FBB3-3364-C9BA-B5CB75D2613C,1,1621884158506,NULL,0
11,202107,4,1621884407,0,[],1A604899-E7F6-6298-E46E-E2C21B75A626,1,3634DC5B-7BE2-2849-9A28-B3DD6BBA6482,1,1621884406846,NULL,0
12,202107,4,1621884588,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,D6800E22-D6C2-1F44-09DA-7CFF03934901,4,1621884588366,NULL,0
13,202107,4,1621885326,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,D6800E22-D6C2-1F44-09DA-7CFF03934901,1085,1621885326168,NULL,0
14,202107,4,1621885412,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,D6800E22-D6C2-1F44-09DA-7CFF03934901,1286,1621885411751,NULL,0
15,202107,4,1621887505,0,[],7D9EC132-8746-541A-1C4C-C38983961F6E,1,FD0FF5E8-8DA3-E7A5-F519-0362697EEA6D,1,1621887505693,NULL,0
16,202107,4,1621887595,1,[],EDBF88BE-A809-8F11-E421-FC1BF070F65F,1,5115C62C-2283-21FD-666E-B8D53EB5F7B3,1,1621887594991,NULL,0
17,202107,4,1621888415,1,[],EDBF88BE-A809-8F11-E421-FC1BF070F65F,1,5115C62C-2283-21FD-666E-B8D53EB5F7B3,1115,1621888415795,NULL,0
18,202107,4,1621888982,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,FDF71E71-DA15-3BC5-88D7-B467985C65ED,1,1621888981966,NULL,0
19,202107,4,1621889831,1,[],3BFAA10D-F047-318F-09DB-95675BA14275,1,2171FDC7-4809-336F-2007-8B1AFF6589E1,1,1621889831394,NULL,0
20,202107,4,1621891882,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,FDF71E71-DA15-3BC5-88D7-B467985C65ED,1011,1621891881434,NULL,0
21,202107,4,1621891962,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,FDF71E71-DA15-3BC5-88D7-B467985C65ED,1224,1621891962480,NULL,0
22,202107,4,1621893657,0,[],2A5112B7-01A4-1B3C-46E8-0D1E99592C04,1,0B2D12E2-89FC-5BA8-73CB-1552C6DDE140,1,1621893656717,NULL,0
23,202107,4,1621894374,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,FDF71E71-DA15-3BC5-88D7-B467985C65ED,2427,1621894373697,NULL,0
24,202107,4,1621894750,0,[],7947B328-A64B-F50E-3739-B5E9D332A9C2,1,3B2B1F40-33ED-52E9-B257-873F310334D2,1,1621894749584,NULL,0
25,202107,4,1621895815,1,[],2791E572-38CD-54D3-7DF8-6560024425A9,1,CCE823A8-7CEF-77F0-4803-53EFE66FF4DE,1,1621895815148,NULL,0
26,202107,4,1621899030,1,[],1E33A031-B65A-3844-2FC3-9A59573BD2FF,1,203E1378-04C3-46EE-1A08-487EE5CACB79,4,1621899029835,NULL,0
27,202107,4,1621899293,0,[],7E32013E-3E53-236A-7609-925CAED4B47D,1,A254FDDC-2449-B792-2781-A11A92EAA5E2,1,1621899293714,NULL,0
28,202107,4,1621899681,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,F6FBCE2D-B01F-0FF5-DCAD-88218C47EFC9,1,1621899680969,NULL,0
29,202107,4,1621899700,0,[],6B5D5774-2CF8-00CE-950A-F5F0BE9086E2,1,C50D0441-2A24-35B7-FB68-6CBA22115853,1,1621899699608,NULL,0
30,202107,4,1621900012,0,[],1E859C57-2729-CDA3-B2FE-26A90B85E8D1,1,B04C255A-D607-F91A-5F8A-625723E0C57F,4,1621900012697,NULL,0
31,202107,4,1621901171,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,F6FBCE2D-B01F-0FF5-DCAD-88218C47EFC9,2368,1621901170784,NULL,0
32,202107,4,1621904572,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,ECA5710A-ED02-9428-A59C-F84DCBC3A46B,1,1621904571595,NULL,0
33,202107,4,1621905679,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,ECA5710A-ED02-9428-A59C-F84DCBC3A46B,1286,1621905678403,NULL,0
34,202107,4,1621905733,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,ECA5710A-ED02-9428-A59C-F84DCBC3A46B,1435,1621905732482,NULL,0
35,202107,4,1621905803,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,ECA5710A-ED02-9428-A59C-F84DCBC3A46B,1680,1621905802884,NULL,0
36,202107,4,1621907335,0,[],C440835C-C971-6E91-BB32-8BAFF593BBEF,1,A094D1CB-DC77-F23A-77F6-F614874D5A98,1,1621907334905,NULL,0
37,202107,4,1621908864,1,[],C36B0DC9-A746-E0D1-4572-DC25BA5E2C45,1,FF1401C6-AB22-B1FC-DB05-FD713604BC86,4,1621908865806,NULL,0
38,202107,4,1621910184,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,1C484B3E-8B71-E92B-8199-531CB3C2DF06,1,1621910184049,NULL,0
39,202107,4,1621910685,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,NULL,1,1621910685390,NULL,0
40,202107,4,1621910763,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,2B6ED440-574A-30BA-5087-7413DB4F00CC,1,1621910762863,NULL,0
41,202107,4,1621910813,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,1C484B3E-8B71-E92B-8199-531CB3C2DF06,924,1621910812889,NULL,0
42,202107,4,1621911097,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,3D42692D-D267-1C95-24AD-F19CF839F2E8,1,1621911097771,NULL,0
43,202107,4,1621911731,1,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,NULL,1,1621911731634,NULL,0
44,202107,4,1621911752,1,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,3F009095-8645-1F34-146C-188FC57B29B1,1,1621911752295,NULL,0
45,202107,4,1621911780,1,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,B77808E5-9B7B-F7C4-35E4-BE84D79BFE0F,1,1621911780051,NULL,0
46,202107,4,1621911856,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,980EE9CA-81C3-BFB1-AA8E-0020583A33BD,1,1621911856163,NULL,0
47,202107,4,1621912000,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,D567E558-8639-E97F-9A2B-143EE2EB6C2D,1,1621912000766,NULL,0
48,202107,4,1621912070,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,NULL,1,1621912070077,NULL,0
49,202107,4,1621912182,1,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,NULL,1,1621912182583,NULL,0
50,202107,1,1621912244,1,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,889823BD-A84C-1865-4143-3ED0618E966A,1,1621912243892,NULL,0
51,202107,1,1621912265,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,80EF09C2-8E84-EB55-AFAC-F028A3C5B933,1,1621912264876,NULL,0
52,202107,1,1621912822,1,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,NULL,1,1621912822749,NULL,0
53,202107,4,1621913005,0,[],92278E55-D4C3-120C-489E-789AE1BD4998,1,01A1279D-1712-D4CC-67F3-A1575DB2C082,1,1621913005013,NULL,0
54,202107,1,1621913216,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,5E396213-068B-728C-8A9A-2B544B97BF18,1,1621913216124,NULL,0
55,202107,1,1621913283,0,[],61F2CF48-1BE7-8576-E22F-351978F53446,1,NULL,1,1621913283125,NULL,0
56,202107,4,1621914051,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,F0B9362D-6695-ED77-C728-3C768E4D6518,1,1621914051363,NULL,0
57,202107,4,1621914234,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,9A3B2042-5253-47F3-A065-8ED00C0EC632,4,1621914233545,NULL,0
58,202107,4,1621921345,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,1,1621921347168,NULL,0
59,202107,4,1621921598,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,551,1621921600212,NULL,0
60,202107,4,1621921745,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,1005,1621921746901,NULL,0
61,202107,4,1621921817,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,1468,1621921818914,NULL,0
62,202107,4,1621922113,1,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,2350,1621922115025,NULL,0
63,202107,4,1621922306,0,[],B9F418B1-9C91-96CE-478C-9DB16DC82281,1,571A69E8-E312-371B-E256-B7984ED4D523,2775,1621922307383,NULL,0
