log_pl_id,uid,eid,log_ts,gid,cid,vid,client_ip,pl_detail,cd_id,sessionid,client_ts,host_domain,referrer_host,referrer_path,multiplayer_seqid
1,44F924F9-7413-F621-F8AA-017B1667D4FB,0,1620550038,202107,1,1,216.243.7.56,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10.15;,rv:88.0),Gecko\/20100101,"Firefox\/88.0""}",0,A786598B-BEB5-6447-EEB5-90AFC372BA1A,1620550632373,NULL,127.0.0.1,/,0
2,44F924F9-7413-F621-F8AA-017B1667D4FB,0,1620550089,202107,1,1,216.243.7.56,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10.15;,rv:88.0),Gecko\/20100101,"Firefox\/88.0""}",0,58AF45F5-6D7D-6F99-2EC7-3A8F141A01D2,1620550683294,NULL,127.0.0.1,/,0
3,44F924F9-7413-F621-F8AA-017B1667D4FB,0,1620573689,202107,1,1,216.243.7.56,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10.15;,rv:88.0),Gecko\/20100101,"Firefox\/88.0""}",0,9801E852-0D09-655D-D3F3-107A591D2E20,1620574284180,NULL,127.0.0.1,/,0
4,44F924F9-7413-F621-F8AA-017B1667D4FB,0,1620573734,202107,1,1,216.243.7.56,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10.15;,rv:88.0),Gecko\/20100101,"Firefox\/88.0""}",0,A830EEA0-57C5-6B8D-D0E5-19A95FD0B880,1620574330532,NULL,127.0.0.1,/,0
5,AAE35FAC-50DA-4BEF-DD31-5FFDF5A5F41E,0,1620579527,202107,1,1,216.243.7.56,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10.15;,rv:88.0),Gecko\/20100101,"Firefox\/88.0""}",0,CE6B6C85-0021-A599-64D3-981841369B54,1620580122664,NULL,jackerb.github.io,/,0
6,AAE35FAC-50DA-4BEF-DD31-5FFDF5A5F41E,0,1620579974,202107,1,1,216.243.7.56,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10.15;,rv:88.0),Gecko\/20100101,"Firefox\/88.0""}",0,3F225BE1-F8E0-052C-0270-9E2A565F8F8D,1620580570212,NULL,jackerb.github.io,/,0
7,0F5608CE-A886-C6F0-4249-F8D8641666E9,0,1620580336,202107,1,1,45.131.194.119,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10.15;,rv:88.0),Gecko\/20100101,"Firefox\/88.0""}",0,840E8907-6443-902C-83F4-0A35CD088A98,1620580930885,NULL,jackerb.github.io,/,0
8,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620588220,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,C90CE52C-8DA6-A31A-6E0B-34A8720FF7E7,1620588816168,NULL,127.0.0.1,/,0
9,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620588356,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,0AF69A94-ADB5-56A5-F497-00C6B0A62373,1620588952822,NULL,127.0.0.1,/,0
10,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620588450,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,13046A9B-3E3D-B05D-7957-807BD517B894,1620589046059,NULL,127.0.0.1,/,0
11,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620588680,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,BE4A2BD4-69A6-7A8E-3D55-131BC8747F28,1620589276565,NULL,127.0.0.1,/,0
12,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620588723,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,87DD6C9E-3BD6-6543-1CCA-0BD393B4FD73,1620589319914,NULL,127.0.0.1,/,0
13,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620588810,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,C07ED027-FC3F-4EEF-496F-2644FF56E987,1620589406754,NULL,127.0.0.1,/,0
14,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620588881,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,70BD5C09-6AF1-0DF9-E82D-2DC99BF817A0,1620589477294,NULL,127.0.0.1,/,0
15,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620589107,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,D6DF7D7F-2979-7EB7-2462-1AA0D9E91BA1,1620589703492,NULL,127.0.0.1,/,0
16,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620589123,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,B6BDEE4D-D5A6-52CA-ED3D-D0CAAA01374A,1620589719792,NULL,127.0.0.1,/,0
17,9A9D579E-27B1-12CA-5997-5F05E127AA61,0,1620589484,202107,1,1,205.175.97.218,"{""user_agent"":""Mozilla\/5.0",(Macintosh;,Intel,Mac,OS,X,10_15_6),AppleWebKit\/605.1.15,"(KHTML,",like,Gecko),Version\/13.1.2,"Safari\/605.1.15""}",0,AB1D3C09-B57F-1C10-B575-340C679C1587,1620590080875,NULL,127.0.0.1,/,0
