uid,COUNT(*)
15DC2F28-CFA9-70CA-B304-9C6362E4168B,1
16073188-8BED-3EA6-647D-E49A042C6612,3
19F57755-8295-C82F-5906-EB7CA24319CA,1
1BEC4275-AB0A-689C-5BB7-8BF594AA2B85,1
1C0F1FFA-FE9A-802A-E904-47ADE9B22377,1
2B2F2D68-D8E6-C194-1146-8A0DCC232D78,53
303DFEC6-4500-A972-A73C-374596C08552,5
35A98C1F-0727-2C3A-E586-C9ECD255DC20,5
366231B5-25CE-9AA8-E697-B7A2A2E946FA,2
3D9BA673-F607-5F4D-AA4F-4BD1BB0B8388,3
44F924F9-7413-F621-F8AA-017B1667D4FB,83
45B43F13-7007-C2ED-5B41-2C311228D6BA,1
47B1665A-ED6B-0424-CCFE-093118A08171,1
484FC272-C876-722D-2E67-725B40C498A3,1
4B5A3E72-D6B0-6295-B975-CAB17D028CD4,32
4CEA18AD-D69A-A383-76AE-DF1CC2E370FE,1
527179ED-6A82-14E3-6B03-78E220238690,2
53C11867-DD1F-9670-3D79-8F1A9E03DAE4,1
5BEF452D-7D8A-BD7D-3CD2-29934C84BE79,1
5C957550-F0C3-14E8-4BCF-E9702699314C,1
61F2CF48-1BE7-8576-E22F-351978F53446,324
63367CBD-F3AF-E0D1-3584-38507230A1F2,1
6A110DDB-7D1B-F513-A280-A9E75E3DAFC8,1
6EBB7647-3E97-810C-E1CD-9DA2778129DD,1
6F6F81CD-61F7-5EB1-D876-20D9AB0DF56E,2
75A731DB-DA14-4995-DBAB-02FD42645952,1
802B6530-C59F-117C-F0C1-60358E434153,10
8944818E-B47C-E071-DF2A-531595ACD53C,1
8B95E903-5109-B71E-68E5-BEFCC7C7F51A,7
8C233763-20E3-8DC7-F20C-95BB053AEDA6,1
940365B3-D72D-376F-A1FD-5A4F1C4350CC,1
982797C1-3278-A6A0-9356-E5BC772BDCA8,57
9A205BBF-F564-9E46-5937-37E33F531919,1
A0CB1022-7AC6-7FD1-D51B-696EC56DCFFC,1
A242CDB1-25F0-4D64-6BE2-E63EED69E4A9,1
A82C4265-6184-CBF1-8437-386BAD1623C8,2
A9132565-E3AF-4402-1E18-CFAA7680F526,1
AAE35FAC-50DA-4BEF-DD31-5FFDF5A5F41E,4
AD5CB8D8-38BB-3AA8-49F6-7EC98404AB02,1
BB88DF60-F042-0479-D521-20AF52E456EE,1
BE06F663-8BCF-5E48-432E-3E48FB33401C,1
C56125C5-4B01-CEE0-5AD1-EAAD601B48CB,3
C9663E0C-FCA9-0194-26DC-34C4AAE562CB,1
CB5B6D7B-FFF5-4C97-4960-3E30B8CBB2EB,3
D2B1747D-F94A-2C8E-EA29-563845EBCA6E,1
E0A209E1-E6B4-0064-A076-7EA6EC27FF76,1
E1762BE1-E9ED-E088-6DED-4D8ABFDFAF6A,1
E3A17DAD-383C-0C9E-0667-EC3F2F48479A,2
E686838C-0A85-6E77-0748-DDB884EBA261,1
F4F5B591-46D1-E9D8-96AF-7F440A122A6D,80
FD5CFB29-1847-97CF-E01E-E8A6335E6300,1
